Address,PatternWritten,ReadbackValues,Tags
0x000003FC,FFFFFFFF,"bbbfbffbf|ccffc0000|ccffc0000|ccffc0000|ccffc0000","FAIL|FAIL|FAIL|FAIL|FAIL"
0x000003FC,AAAAAAAA,"ccffc0000|ccffcffff|ccffcffff|ccffcffff|ccffcffff","FAIL|NEAR-LAG-1 (exp:FFFFFFFF,hd:4)|NEAR-LAG-1 (exp:FFFFFFFF,hd:4)|NEAR-LAG-1 (exp:FFFFFFFF,hd:4)|NEAR-LAG-1 (exp:FFFFFFFF,hd:4)"
0x000003FC,55555555,"ccffcffff|ccffcaaaa|ccffcaaaa|ccffcaaaa|ccffcaaaa","NEAR-LAG-2 (exp:FFFFFFFF,hd:4)|FAIL|FAIL|FAIL|FAIL"
0x000003FC,DEADBEEF,"ccffcaaaa|ccffc5555|ccffc5555|ccffc5555|ccffc5555","FAIL|FAIL|FAIL|FAIL|FAIL"
0x000003FC,CAFEBABE,"ccffc5555|ccffcbeef|ccffcbeef|ccffcbeef|ccffcbeef","FAIL|NEAR-LAG-1 (exp:DEADBEEF,hd:5)|NEAR-LAG-1 (exp:DEADBEEF,hd:5)|NEAR-LAG-1 (exp:DEADBEEF,hd:5)|NEAR-LAG-1 (exp:DEADBEEF,hd:5)"
0x000003FC,12345678,"ccffcbeef|ccffcbabe|ccffcbabe|ccffcbabe|ccffcbabe","NEAR-LAG-1 (exp:CAFEBABE,hd:7)|NEAR-LAG-1 (exp:CAFEBABE,hd:3)|NEAR-LAG-1 (exp:CAFEBABE,hd:3)|NEAR-LAG-1 (exp:CAFEBABE,hd:3)|NEAR-LAG-1 (exp:CAFEBABE,hd:3)"
0x000003FC,87654321,"ccffcbabe|ccffc5678|ccffc5678|ccffc5678|ccffc5678","NEAR-LAG-2 (exp:CAFEBABE,hd:3)|FAIL|FAIL|FAIL|FAIL"
0x000003FC,F0F0F0F0,"ccffc5678|ccffc4321|ccffc4321|ccffc4321|ccffc4321","FAIL|NEAR-LAG-1 (exp:87654321,hd:6)|NEAR-LAG-1 (exp:87654321,hd:6)|NEAR-LAG-1 (exp:87654321,hd:6)|NEAR-LAG-1 (exp:87654321,hd:6)"
0x000003FC,0F0F0F0F,"ccffc4321|ccffcf0f0|ccffcf0f0|ccffcf0f0|ccffcf0f0","NEAR-LAG-2 (exp:87654321,hd:6)|FAIL|FAIL|FAIL|FAIL"
0x000003FC,B9125134,"ccffcf0f0|ccffc0f0f|ccffc0f0f|ccffc0f0f|ccffc0f0f","FAIL|FAIL|FAIL|FAIL|FAIL"
0x000003FC,F6108000,"ccffc0f0f|ccffc5134|ccffc5134|ccffc5134|ccffc5134","FAIL|FAIL|FAIL|FAIL|FAIL"
0x000003FC,D9285A15,"ccffc5134|ccffc8000|ccffc8000|ccffc8000|ccffc8000","FAIL|FAIL|FAIL|FAIL|FAIL"
0x000003FC,BB93024A,"ccffc8000|ccffc5a15|ccffc5a15|ccffc5a15|ccffc5a15","FAIL|NEAR-LAG-1 (exp:D9285A15,hd:7)|NEAR-LAG-1 (exp:D9285A15,hd:7)|NEAR-LAG-1 (exp:D9285A15,hd:7)|NEAR-LAG-1 (exp:D9285A15,hd:7)"
0x000003FC,996B0914,"ccffc5a15|ccffc024a|ccffc024a|ccffc024a|ccffc024a","NEAR-LAG-2 (exp:D9285A15,hd:7)|FAIL|FAIL|FAIL|FAIL"
